class,relations,value,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#24MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#25MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#26MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#27MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#28MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#29MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#2MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#30MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#31MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#32MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#33MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#34MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#35MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#36MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#3MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#4MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#5MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#6MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#7MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#8MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#0MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#9MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#100PercentJuice" , "http://www.w3.org/2000/01/rdf-schema#isA" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#Juice" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2000/01/rdf-schema#isA" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#BabyStage" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2000/01/rdf-schema#isA" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#MonthlyStage" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#11MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#12MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#13MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#14MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#15MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#16MonthOld" ,
 "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#10MonthOld" , "http://www.w3.org/2002/07/owl#isNot" , "http://www.semanticweb.org/theorist/ontologies/2020/10/root-ontology#17MonthOld" ,
